0,AL,"Level 2, Plaza Hollywood, Diamond Hill,"
1,AL,"Shop No. G3B, Ground Floor, Wong Tai Sin"
2,AL,"Shop No. G01, Ground Floor, Mikiki 638"
3,AL,九龍九龍城廣場 地下低層LG10舖
4,AL,"Shop 48, G/F,HK Int'l Trade & Exhibit"
5,AL,"1/F, JCACC, Baptist University Road"
6,AL,"Shop Unit G1A, Atrium A, Telford Plaza I"
7,AL,"Lobby, Ground Floor, One Kowloon, 1 Wang"
8,AL,"Unit 4 on Level 6 of MegaBox, Enterprise"
9,AL,"G/F, No. 366 Prince Edward Road"
10,AL,"1F, InnoCentre, 72 Tat"
11,AL,"Unit 20A on Level UG/F, Festival Walk"
12,AL,"Unit W2, G/F, One Bay East West Tower"
13,AL,"Shop G01, G/F, Mapletree Bay Point"
14,AL,"Shop 247, 2, Moko 193 Prince Edward Rd W"
15,AL,"Shop 3A&3B, G/F, Tower 1, 388 Kwun Tong"
16,AL,"Shop No.UG39, UG/F, The Laguna Mall No.8"
17,AL,"1/F, One Victory,1-3 Victory Avenue"
18,AL,"1/F & 2/F, Wai Kee House"
19,AL,"Kiosk A & B, 2/F, Pioneer Centre"
20,AL,"Shop 7, G/F, Two Harbour Square"
21,AL,"Shop No. 15, Level 2, APM, Millennium Ci"
22,AL,"Shop 10-16, 1/F, Bank Centre Mall"
23,AL,"Shop 7, G/F, E Plaza, 7 Shing Yip"
24,AL,"Shop No. 2, Level 4A, Langham Place"
25,AL,"Shop B01, Basement, Gala Place, 56"
26,AL,"Shop No.5, G/F, Site 4, Whampoa Garden,"
27,AL,九龍紅磡灣紅鸞道38號 香港嘉里酒店地下01號舖
28,AL,"Shop 9&11-12,G/F, New Kowloon Plaza"
29,AL,"Shop No.HUHR1, M/L, Hung Hom Station"
30,AL,"Shop Nos. 155-158, New Town Plaza"
31,AL,"Shop A & Rear Expansion, G/F"
32,AL,Shop A & B on the Ground Floor
33,AL,Shop No. G78 on Ground Floor
34,AL,"Shop 53-55, G/F, Harbour Crystal Centre"
35,AL,"Shop Nos. G33A & G33B, G/F"
36,AL,"Shop on G/F., 102 Austin Road"
37,AL,"Shop 3, G/F, No.8 Obervatory Road,"
38,AL,"Shop G13, G/F, Nam Cheong Station"
39,AL,"Shop 217, HomeSquare, 138 Shatin,"
40,AL,"G39, G40-G41 on G/F, Empire Centre"
41,AL,"Shop G20, G/F, Harbour North"
42,AL,Shop 107 L1 Mira Place One 132 Nathan Rd
43,AL,"G/F Cheung Sha Wan Plaza, 833 Cheung Sha"
44,AL,"21 -53 Wharf Road,"
45,AL,2-6 Granville Rd
46,AL,Shop Nos. G5 and G6 on G/F Mirror Tower
47,AL,"Shop No.101, 1st Floor, Liberte Place, 8"
48,AL,"Shop 14&16, G/F, Island Place"
49,AL,"Shop No.1A, G/F, AIA Hong Kong Tower"
50,AL,"Shops 308-310, 3/F.,"
51,AL,Concession HOK 3a & b
52,AL,Connaught Rd C
53,AL,"Office Lobby, G/F Exchange Square"
54,AL,"Shop LG12-LG14, Lower G/F.,"
55,AL,中環國際金融中心商場2樓2097-2098號舖
56,AL,"Shop No.112, Level One, Man Yee Arcade,"
57,AL,"Shop on 1/F, Prosperity Tower"
58,AL,"Shop 201, 2/F, Alexandra House"
59,AL,"Shop B, Ground Floor"
60,AL,"Kiosk Nos. CEN K4-K5, Transfer Concourse"
61,AL,"Shop A, Upper Ground Floor, Century Sq."
